Abuse_Type,Depth,Mean_Value_Received_BTC
darknet,0,226.97628327
darknet,1,17.615735125294115
darknet,2,29.603785536956526
darknet,3,88.39462640181819
darknet,4,707.42603258
darknet,5,181.931913775
darknet,6,114.20568527591838
darknet,7,50.55156748656716
darknet,8,39.88521270722222
darknet,9,159.8466684422951
