Abuse_Type,Depth,Total_Mean_Value_Sent_BTC
darknet,0,341.121665887
darknet,1,35.536321720000004
darknet,2,47.2585154175
darknet,3,118.55497434411764
darknet,4,1678.0900604688889
darknet,5,879.1038765727272
darknet,6,360.5251978765625
darknet,7,176.303445056
darknet,8,95.48588990792452
darknet,9,303.29464341549294
