Abuse_Type,Depth,Total_Mean_Value_Sent_BTC
ransomware,0,12.530437438749999
ransomware,1,7.8945032608
ransomware,2,16.504987043846157
ransomware,3,76.87251498609375
ransomware,4,70.48242622398149
