Abuse_Type,Depth,Mean_Value_Received_BTC
tumbler,0,1.8796568845454544
tumbler,1,65.2052487961111
tumbler,2,66.51824798970587
tumbler,3,5.925637075070422
tumbler,4,12.238884811607141
tumbler,5,
