Abuse_Type,Depth,Mean_Value_Received_BTC
blackmail,0,0.8977275699999999
blackmail,1,38.30153505789474
blackmail,2,254.21882467350002
blackmail,3,100.82235729290322
blackmail,4,13.7291118665
